 to your browser,لمتصفحك
Call Schedule Row {0}: To time slot should always be ahead of From time slot.,سعر حراري (غذاء)
Call Summary,سعر حراري (إيطالي)
Call Summary Saved,سعر حراري (متوسط)
Call Type,سعر حراري (حراري)
Callback,سعر حراري/ثانية
Calorie (Food),حملة
Calorie (It),فعالية الحملة
Calorie (Mean),جدول رسائل الحملة
Calorie (Th),عنصر الحملة
Calorie/Seconds,اسم الحملة
Campaign,تسمية الحملة بواسطة
Campaign Efficiency,جداول الحملة
Campaign Email Schedule,يمكن الموافقة عليه بواسطة {0}
Campaign Item,"تعذّر إغلاق أمر العمل لأن {0} بطاقة عمل في حالة ""قيد التنفيذ""."
Campaign Name,لا يمكن التصفية حسب أمين الصندوق إذا كان التجميع حسب أمين الصندوق
Campaign Naming By,لا يمكن التصفية حسب الحساب الفرعي إذا كان التجميع حسب الحساب
Campaign Schedules,لا يمكن التصفية حسب العميل إذا كان التجميع حسب العميل
Can be approved by {0},لا يمكن التصفية حسب ملف نقطة البيع إذا كان التجميع حسب ملف نقطة البيع
Can not close Work Order. Since {0} Job Cards are in Work In Progress state.,لا يمكن التصفية حسب طريقة الدفع إذا كان التجميع حسب طريقة الدفع
"Can not filter based on Cashier, if grouped by Cashier",لا يمكن التصفية حسب رقم القيد إذا كان التجميع حسب القيد
"Can not filter based on Child Account, if grouped by Account",يمكن السداد فقط مقابل {0} غير المفوتر
"Can not filter based on Customer, if grouped by Customer","يمكن الإشارة للصف فقط إذا كان نوع الرسوم ""على مبلغ الصف السابق"" أو ""إجمالي الصف السابق"""
"Can not filter based on POS Profile, if grouped by POS Profile",لا يمكن تغيير طريقة التقييم لوجود معاملات على أصناف لا تمتلك طريقة تقييم خاصة بها
"Can not filter based on Payment Method, if grouped by Payment Method",إلغاء
"Can not filter based on Voucher No, if grouped by Voucher",إلغاء عند نهاية الفترة
Can only make payment against unbilled {0},ألغِ زيارة المواد {0} قبل إلغاء مطالبة الضمان هذه
Can refer row only if the charge type is 'On Previous Row Amount' or 'Previous Row Total',ألغِ زيارات المواد {0} قبل إلغاء زيارة الصيانة هذه
"Can't change the valuation method, as there are transactions against some items which do not have its own valuation method",إلغاء الاشتراك
Cancel,إلغاء الاشتراك بعد فترة السماح
Cancel At End Of Period,تاريخ الإلغاء
Cancel Material Visit {0} before cancelling this Warranty Claim,ملغى
Cancel Material Visits {0} before cancelling this Maintenance Visit,ملغى
Cancel Subscription,لا يمكن حساب وقت الوصول لأن عنوان السائق مفقود.
Cancel Subscription After Grace Period,لا يمكن إنشاء إرجاع
Cancelation Date,لا يمكن الدمج
Canceled,لا يمكن تحسين المسار لأن عنوان السائق مفقود.
Cancelled,لا يمكن إنهاء خدمة الموظف
Cannot Calculate Arrival Time as Driver Address is Missing.,لا يمكن إعادة إرسال قيود الأستاذ للقيود ضمن سنة مالية مغلقة
Cannot Create Return,لا يمكن تعديل {0} {1}، يرجى إنشاء واحدة جديدة بدلًا من ذلك.
Cannot Merge,لا يمكن تطبيق الضريبة المقتطعة على أطراف متعددة في قيد واحد
Cannot Optimize Route as Driver Address is Missing.,لا يمكن أن يكون صنف أصل ثابت لأن دفتر المخزون منشأ.
Cannot Relieve Employee,لا يمكن الإلغاء لأن معالجة المستندات الملغاة ما زالت قيد الانتظار.
Cannot Resubmit Ledger entries for vouchers in Closed fiscal year.,لا يمكن الإلغاء لوجود إدخال مخزون مقدم {0}
"Cannot amend {0} {1}, please create a new one instead.",لا يمكن إلغاء المعاملة، إعادة احتساب تقييم المخزون عند الاعتماد لم تكتمل بعد.
Cannot apply TDS against multiple parties in one entry,لا يمكن إلغاء هذا المستند لأنه مرتبط بأصل معتمد {asset_link}. يرجى إلغاء الأصل للمتابعة.
Cannot be a fixed asset item as Stock Ledger is created.,لا يمكن إلغاء معاملة لأمر عمل مكتمل.
Cannot cancel as processing of cancelled documents is pending.,لا يمكن تغيير الخصائص بعد معاملات المخزون. أنشئ صنفًا جديدًا وانقل المخزون له.
Cannot cancel because submitted Stock Entry {0} exists,لا يمكن تغيير بداية/نهاية السنة المالية بعد حفظها.
Cannot cancel the transaction. Reposting of item valuation on submission is not completed yet.,لا يمكن تغيير نوع المستند المرجعي.
Cannot cancel this document as it is linked with the submitted asset {asset_link}. Please cancel the asset to continue.,لا يمكن تغيير تاريخ إيقاف الخدمة للصنف في الصف {0}
Cannot cancel transaction for Completed Work Order.,لا يمكن تغيير خصائص المتغير بعد معاملات المخزون. ستحتاج لإنشاء صنف جديد.
Cannot change Attributes after stock transaction. Make a new Item and transfer stock to the new Item,لا يمكن تغيير العملة الافتراضية لوجود معاملات قائمة.
Cannot change Fiscal Year Start Date and Fiscal Year End Date once the Fiscal Year is saved.,لا يمكن إكمال المهمة {0} لأن المهام التابعة {1} غير مكتملة/غير ملغاة.
Cannot change Reference Document Type.,لا يمكن تحويل مركز التكلفة إلى دفتر لأنه يحتوي على فروع.
Cannot change Service Stop Date for item in row {0},لا يمكن تحويل المهمة إلى غير مجموعة لوجود مهام فرعية: {0}.
Cannot change Variant properties after stock transaction. You will have to make a new Item to do this.,لا يمكن التحويل إلى مجموعة لأن نوع الحساب محدد.
"Cannot change company's default currency, because there are existing transactions. Transactions must be cancelled to change the default currency.",لا يمكن إنشاء حجوزات مخزون لإيصالات مشتريات مستقبلية.
Cannot complete task {0} as its dependant task {1} are not completed / cancelled.,لا يمكن إنشاء قائمة اختيار لأمر البيع {0} لأنه يحتوي على مخزون محجوز.
Cannot convert Cost Center to ledger as it has child nodes,لا يمكن إنشاء قيود محاسبية على حسابات معطلة: {0}
Cannot convert Task to non-group because the following child Tasks exist: {0}.,لا يمكن إنشاء إرجاع لفاتورة مجمعة {0}.
Cannot convert to Group because Account Type is selected.,لا يمكن إلغاء أو تعطيل شجرة المواد لأنها مرتبطة بأخرى.
Cannot covert to Group because Account Type is selected.,لا يمكن الإعلان كخاسر لأن عرض السعر تم إنشاؤه.
Cannot create Stock Reservation Entries for future dated Purchase Receipts.,"لا يمكن الخصم عندما تكون الفئة ""تقييم"" أو ""تقييم وإجمالي""."
Cannot create a pick list for Sales Order {0} because it has reserved stock. Please unreserve the stock in order to create a pick list.,لا يمكن حذف صف ربح/خسارة صرف
Cannot create accounting entries against disabled accounts: {0},لا يمكن حذف الرقم التسلسلي {0} لأنه مستخدم في معاملات مخزون
Cannot create return for consolidated invoice {0}.,لا يمكن إدراج مهام متعددة لشركة واحدة. {0} مسجل/قيد التشغيل للشركة: {1}
Cannot deactivate or cancel BOM as it is linked with other BOMs,لا يمكن ضمان التسليم بالرقم التسلسلي لأن الصنف {0} مضاف مع وبدون ضمان تسليم.
"Cannot declare as lost, because Quotation has been made.",لا يمكن العثور على صنف بهذا الباركود
Cannot deduct when category is for 'Valuation' or 'Valuation and Total',لا يمكن العثور على مخزن افتراضي للصنف {0}، يرجى تحديده.
Cannot delete Exchange Gain/Loss row,لا يمكن إجراء أي معاملات حتى تكتمل مهمة الحذف.
"Cannot delete Serial No {0}, as it is used in stock transactions",لا يمكن الفوترة الزائدة للصنف {0} في الصف {1} أكثر من {2}.
Cannot enqueue multi docs for one company. {0} is already queued/running for company: {1},لا يمكن إنتاج كمية أكبر من {0} للصنف {1}
Cannot ensure delivery by Serial No as Item {0} is added with and without Ensure Delivery by Serial No.,لا يمكن إنتاج المزيد للصنف {0}
Cannot find Item with this Barcode,لا يمكن الإنتاج أكثر من {0} للصنف {1}
Cannot find a default warehouse for item {0}. Please set one in the Item Master or in Stock Settings.,لا يمكن التحصيل من العميل مقابل رصيد سلبي
Cannot make any transactions until the deletion job is completed,لا يمكن الإشارة لصف أكبر أو يساوي الصف الحالي
"Cannot overbill for Item {0} in row {1} more than {2}. To allow over-billing, please set allowance in Accounts Settings",لا يمكن استرجاع رمز الربط للتحديث. راجع سجل الأخطاء.
Cannot produce more Item {0} than Sales Order quantity {1},"لا يمكن تحديد نوع الرسوم ""على مبلغ الصف السابق"" للصف الأول"
Cannot produce more item for {0},لا يمكن التعيين كخاسر لأن أمر البيع تم إنشاؤه.
Cannot produce more than {0} items for {1},لا يمكن تحديد التفويض بناء على الخصم لـ {0}
Cannot receive from customer against negative outstanding,لا يمكن تحديد إعدادات افتراضية متعددة لصنف لشركة واحدة.
Cannot refer row number greater than or equal to current row number for this Charge type,لا يمكن وضع كمية أقل من الكمية المسلمة
Cannot retrieve link token for update. Check Error Log for more information,لا يمكن وضع كمية أقل من الكمية المستلمة
Cannot retrieve link token. Check Error Log for more information,لا يمكن تحديد الحقل <b>{0}</b> للنسخ في المتغيرات
Cannot select charge type as 'On Previous Row Amount' or 'On Previous Row Total' for first row,لا يمكن {0} من {1} بدون أي فاتورة ذات رصيد سلبي
Cannot set as Lost as Sales Order is made.,المعرّف الأساسي URI
Cannot set authorization on basis of Discount for {0},الطاقة الاستيعابية
Cannot set multiple Item Defaults for a company.,الطاقة الاستيعابية (وحدة المخزون)
Cannot set quantity less than delivered quantity,تخطيط القدرة
Cannot set quantity less than received quantity,خطأ تخطيط القدرة: وقت البداية لا يمكن أن يساوي وقت النهاية
Cannot set the field <b>{0}</b> for copying in variants,تخطيط القدرة لـ (أيام)
Cannot {0} from {1} without any negative outstanding invoice,القدرة بوحدة المخزون
Canonical URI,القدرة يجب أن تكون أكبر من 0
Capacity,معدات رأسمالية
Capacity (Stock UOM),رأس المال
Capacity Planning,أعمال رأسمالية قيد التنفيذ
"Capacity Planning Error, planned start time can not be same as end time",أعمال رأسمالية قيد التنفيذ
Capacity Planning For (Days),طريقة الرسملة
Capacity in Stock UOM,رسملة الأصل
Capacity must be greater than 0,رسملة تكلفة الإصلاح
Capital Equipment,مُرسمل
Capital Stock,قيراط
Capital Work In Progress Account,التسليم مدفوع إلى
Capital Work in Progress,النقل والتأمين مدفوع إلى
Capitalization Method,الناقل
Capitalize Asset,خدمة الناقل
Capitalize Repair Cost,ترحيل المحادثات والتعليقات
Capitalized,نقد
Carat,قيد نقدي
Carriage Paid To,التدفق النقدي
Carriage and Insurance Paid to,قائمة التدفق النقدي
Carrier,التدفق من التمويل
Carrier Service,التدفق من الاستثمار
Carry Forward Communication and Comments,التدفق من العمليات
Cash,نقد بالصندوق
Cash Entry,حساب نقدي/بنكي إلزامي لإنشاء قيد دفع
Cash Flow,حساب نقدي/بنكي
Cash Flow Statement,أمين الصندوق
Cash Flow from Financing,إغلاق أمين الصندوق
Cash Flow from Investing,دفعات إغلاق أمين الصندوق
Cash Flow from Operations,التصنيف العام
Cash In Hand,صنّف حسب
Cash or Bank Account is mandatory for making payment entry,صنّف حسب
Cash/Bank Account,صنّف حسب الحساب
Cashier,صنّف حسب الصنف
Cashier Closing,صنّف حسب الطرف
Cashier Closing Payments,صنّف حسب المورّد
Catch All,صنّف حسب القيد
Categorize By,صنّف حسب القيد (مجمّع)
Categorize by,الفئة
Categorize by Account,تصنيف حسب الإيصال (موحد)
Categorize by Item,فئة
Categorize by Party,تفاصيل الفئة
Categorize by Supplier,اسم الفئة
Categorize by Voucher,قيمة الأصول حسب الفئة
Categorize by Voucher (Consolidated),تحذير
Category,تحذير: قد يؤدي هذا إلى تغيير الحسابات المجمّدة.
Category Details,رقم الهاتف المحمول
Category Name,سيليسيوس
Category-wise Asset Value,سنتال
Caution,سنتيار
Caution: This might alter frozen accounts.,سنتيغرام/لتر
Cellphone Number,سنتيليتر
Celsius,سنتيمتر
Cental,شهادة
Centiarea,تفاصيل الشهادة
Centigram/Litre,حد الشهادة
Centilitre,رقم الشهادة
Centimeter,الشهادة مطلوبة
Certificate,سلسلة
Certificate Details,مبلغ التغيير
Certificate Limit,تغيير تاريخ الإصدار
Certificate No,تغيير قيمة المخزون
Certificate Required,"غير نوع الحساب إلى ""مدين"" أو اختر حسابًا مختلفًا."
Chain,غير هذا التاريخ يدويًا لتعيين تاريخ بدء المزامنة التالية
Change Amount,تم تغيير اسم العميل إلى '{}' لأن '{}' موجود بالفعل.
Change Release Date,التغييرات
Change in Stock Value,التغييرات في {0}
Change the account type to Receivable or select a different account.,غير مسموح بتغيير مجموعة العميل للعميل المحدد.
Change this date manually to setup the next synchronization start date,تغيير طريقة التقييم إلى المتوسط المتحرك سيؤثر على المعاملات الجديدة. إذا تمت إضافة قيود بتاريخ سابق، سيتم إعادة ترحيل قيود FIFO السابقة مما قد يغيّر الأرصدة الختامية.
Changed customer name to '{}' as '{}' already exists.,شريك قناة
Changes,"رسم من النوع ""فعلي"" في الصف {0} لا يمكن تضمينه في سعر الصنف أو المبلغ المدفوع"
Changes in {0},قابل للرسوم
Changing Customer Group for the selected Customer is not allowed.,الرسوم المتكبدة
"Changing the valuation method to Moving Average will affect new transactions. If backdated entries are added, earlier FIFO-based entries will be reposted, which may change closing balances.",تم تحديث الرسوم في إيصال الشراء مقابل كل صنف
Channel Partner,سيتم توزيع الرسوم بشكل متناسب بناءً على كمية أو قيمة الصنف حسب اختيارك
Charge of type 'Actual' in row {0} cannot be included in Item Rate or Paid Amount,مخطط
Chargeable,مخطط الحسابات
Charges Incurred,قالب مخطط الحسابات
Charges are updated in Purchase Receipt against each item,معاينة المخطط
"Charges will be distributed proportionately based on item qty or amount, as per your selection",شجرة المخطط
Chart,مخطط الحسابات
Chart Of Accounts,مستورد مخطط الحسابات
Chart Of Accounts Template,مخطط مراكز التكلفة
Chart Preview,المخططات بناءً على
Chart Tree,رقم الهيكل
Chart of Accounts,دردشة
Chart of Accounts Importer,التحقق من تفرد رقم فاتورة المورد
Chart of Cost Centers,تحقق مما إذا كانت وحدة زراعة مائية
Charts Based On,تحقق مما إذا كان نقل المواد غير مطلوب
Chassis No,تحقق في (مجموعة)
Chat,حدد هذا لتعطيل الكسور (للعدد)
Check Supplier Invoice Number Uniqueness,تم الفحص في
Check if it is a hydroponic unit,تحديد هذا سيقرب مبلغ الضريبة إلى أقرب عدد صحيح
Check if material transfer entry is not required,الدفع
Check in (group),طلب الدفع / إرسال الطلب / طلب جديد
Check this to disallow fractions. (for Nos),كيميائي
Checked On,شيك
Checking this will round off the tax amount to the nearest integer,تاريخ الشيك
Checkout,ارتفاع الشيك
Checkout Order / Submit Order / New Order,رقم الشيك
Chemical,قالب طباعة الشيك
Cheque,حجم الشيك
Cheque Date,عرض الشيك
Cheque Height,تاريخ الشيك/المرجع
Cheque Number,رقم الشيك/المرجع
Cheque Print Template,الشيكات مطلوبة
Cheque Size,الشيكات والودائع تم تسويتها بشكل غير صحيح
Cheque Width,الشيكات والودائع سُوّيت بشكل غير صحيح
Cheque/Reference Date,الرئيس التنفيذي
Cheque/Reference No,المدير المالي
Cheques Required,المدير التشغيلي
Cheques and Deposits Incorrectly cleared,المدير التقني
Cheques and Deposits incorrectly cleared,اسم المستند الفرعي
Chief Executive Officer,مرجع الصف الفرعي
Chief Financial Officer,يوجد مهمة فرعية لهذه المهمة. لا يمكنك حذف هذه المهمة.
Chief Operating Officer,"لا يمكن إنشاء عقدة فرعية إلا تحت عقدة من النوع ""مجموعة"""
Chief Technology Officer,يوجد مستودع فرعي لهذا المستودع. لا يمكنك حذف هذا المستودع.
Child Docname,اختر أصل مركب تحت التشغيل
Child Row Reference,خطأ مرجعي دائري
Child Task exists for this Task. You can not delete this Task.,مدينة
Child nodes can be only created under 'Group' type nodes,فئة / نسبة
Child warehouse exists for this warehouse. You can not delete this warehouse.,تصنيف العملاء حسب المنطقة
Choose a WIP composite asset,البنود والشروط
Circular Reference Error,مسح بيانات العرض
City,مسح الإشعارات
Class / Percentage,مسح الجدول
Classification of Customers by region,تاريخ التخليص
Clauses and Conditions,تاريخ التخليص غير مذكور
Clear Demo Data,تم تحديث تاريخ التخليص
Clear Notifications,جاري مسح بيانات العرض...
Clear Table,"انقر على ""جلب المنتجات التامة للتصنيع"" لجلب العناصر من أوامر البيع أعلاه. سيتم جلب العناصر التي تحتوي على شجرة مواد فقط."
Clearance Date,"انقر على ""إضافة إلى العطل"" لملء جدول العطل بكل التواريخ المطابقة للعطلة الأسبوعية المحددة. كرر العملية لجميع عطلاتك الأسبوعية."
Clearance Date not mentioned,"انقر على ""جلب أوامر البيع"" لجلب أوامر البيع بناءً على المرشحات أعلاه."
Clearance Date updated,"انقر على زر ""استيراد الفواتير"" بعد إرفاق ملف ZIP. سيتم عرض أي أخطاء في سجل الأخطاء."
Clearing Demo Data...,انقر على الرابط أدناه للتحقق من بريدك الإلكتروني وتأكيد الموعد
Click on 'Get Finished Goods for Manufacture' to fetch the items from the above Sales Orders. Items only for which a BOM is present will be fetched.,انقر لإضافة بريد إلكتروني / هاتف
Click on Add to Holidays. This will populate the holidays table with all the dates that fall on the selected weekly off. Repeat the process for populating the dates for all your weekly holidays,عميل
Click on Get Sales Orders to fetch sales orders based on the above filters.,إغلاق
Click on Import Invoices button once the zip file has been attached to the document. Any errors related to processing will be shown in the Error Log.,إغلاق المشكلة بعد عدد أيام
Click on the link below to verify your email and confirm the appointment,إغلاق القرض
Click to add email / phone,إغلاق الفرصة التي تم الرد عليها بعد عدد أيام
Client,إغلاق نقطة البيع
Close,مغلق
Close Issue After Days,مستند مغلق
Close Loan,مستندات مغلقة
Close Replied Opportunity After Days,لا يمكن إيقاف أو إعادة فتح أمر عمل مغلق
Close the POS,لا يمكن إلغاء أمر مغلق. قم بإلغاء الإغلاق أولاً.
Closed,إقفال
Closed Document,الإقفال (دائن)
Closed Documents,الإقفال (مدين)
Closed Work Order can not be stopped or Re-opened,الإقفال (الافتتاحي + الإجمالي)
Closed order cannot be cancelled. Unclose to cancel.,رأس حساب الإقفال
Closing,يجب أن يكون حساب الإقفال {0} من نوع الالتزام/حقوق الملكية
Closing (Cr),مبلغ الإقفال
Closing (Dr),الرصيد الختامي
Closing (Opening + Total),الرصيد الختامي وفق كشف البنك
Closing Account Head,الرصيد الختامي وفق النظام
Closing Account {0} must be of type Liability / Equity,تاريخ الإقفال
Closing Amount,نص الإقفال
Closing Balance,الإقفال [الافتتاحي + الإجمالي]
Closing Balance as per Bank Statement,رمز
Closing Balance as per ERP,قائمة الرموز
Closing Date,الاتصال البارد
Closing Text,طيّ الكل
Closing [Opening + Total] ,جمع التقدم
Code,عامل التحصيل (=1 LP)
Code List,قواعد التحصيل
Cold Calling,طبقة التحصيل
Collapse All,لون
Collect Progress,لون
Collection Factor (=1 LP),عمود في ملف البنك
Collection Rules,العمود {0}
Collection Tier,الأعمدة لا تطابق القالب. يرجى مقارنة الملف المرفوع بالقالب القياسي
Color,يجب أن يكون مجموع الفاتورة المجمعة 100%
Colour,تعليقات
Column in Bank File,تجاري
Column {0},عمولة
Columns are not according to template. Please compare the uploaded file with standard template,معدل العمولة
Combined invoice portion must equal 100%,معدل العمولة %
Comments,معدل العمولة (%)
Commercial,العمولة على المبيعات
Commission,رمز مشترك
Commission Rate,اتصال
Commission Rate %,قناة الاتصال
Commission Rate (%),وسيلة الاتصال
Commission on Sales,فترة وسيلة الاتصال
Common Code,نوع وسيلة الاتصال
Communication,طباعة الأصناف بشكل مضغوط
Communication Channel,الشركات
Communication Medium,شركة
Communication Medium Timeslot,اختصار الشركة
Communication Medium Type,اختصار الشركة لا يمكن أن يتجاوز 5 أحرف
Compact Item Print,حساب الشركة
Companies,عنوان الشركة
Company,عرض عنوان الشركة
Company Abbreviation,اسم عنوان الشركة
Company Abbreviation cannot have more than 5 characters,حساب بنك الشركة
Company Account,عنوان الفوترة للشركة
Company Address,الشخص المسؤول في الشركة
Company Address Display,وصف الشركة
Company Address Name,تفاصيل الشركة
Company Bank Account,بريد الشركة الإلكتروني
Company Billing Address,شعار الشركة
Company Contact Person,اسم الشركة
Company Description,"اسم الشركة لا يمكن أن يكون ""Company"""
Company Details,الشركة غير مرتبطة
Company Email,عنوان الشحن للشركة
Company Logo,الرقم الضريبي للشركة
Company Name,الشركة وتاريخ القيد إلزاميان
Company Name cannot be Company,عملتا الشركتين يجب أن تتطابقا لمعاملات ما بين الشركات
Company Not Linked,حقل الشركة مطلوب
Company Shipping Address,الشركة إلزامية
Company Tax ID,الشركة إلزامية لحساب الشركة
Company and Posting Date is mandatory,الشركة إلزامية لإنشاء فاتورة. يرجى تعيين شركة افتراضية في الإعدادات العامة.
Company currencies of both the companies should match for Inter Company Transactions.,اسم الشركة غير مطابق
Company field is required,شركة الأصل {0} والمستند الشرائي {1} غير متطابقين
Company is mandatory,أرقام تسجيل الشركة للرجوع إليها. مثل الأرقام الضريبية وغيرها.
Company is mandatory for company account,الشركة التي يمثلها العميل الداخلي
Company is mandatory for generating an invoice. Please set a default company in Global Defaults.,الشركة التي يمثلها العميل الداخلي.
Company name not same,الشركة التي يمثلها المورد الداخلي
Company of asset {0} and purchase document {1} doesn't matches.,تمت إضافة الشركة {0} عدة مرات
Company registration numbers for your reference. Tax numbers etc.,الشركة {0} غير موجودة
Company which internal customer represents,الشركة {0} مضافة أكثر من مرة
Company which internal customer represents.,الشركة {} غير موجودة بعد. تم إيقاف إعداد الضرائب.
Company which internal supplier represents,الشركة {} لا تتطابق مع شركة ملف نقطة البيع {}
Company {0} added multiple times,منافس
Company {0} does not exist,تفاصيل المنافس
Company {0} is added more than once,اسم المنافس
Company {} does not exist yet. Taxes setup aborted.,المنافسون
Company {} does not match with POS Profile Company {},مكتمل
Competitor,إكمال المهمة
Competitor Detail,إكمال الطلب
Competitor Name,مكتمل
Competitors,تم بواسطة
Complete,تم في
Complete Job,"لا يمكن أن يكون ""تم في"" أكبر من اليوم"
Complete Order,عملية مكتملة
Completed,الكمية المكتملة
Completed By,"لا يمكن أن تكون الكمية المكتملة أكبر من ""الكمية المطلوب تصنيعها"""
Completed On,الكمية المكتملة
Completed On cannot be greater than Today,المهام المكتملة
Completed Operation,الوقت المكتمل
Completed Qty,أوامر العمل المكتملة
Completed Qty cannot be greater than 'Qty to Manufacture',الإكمال
Completed Quantity,الإكمال بواسطة
Completed Tasks,تاريخ الإكمال
Completed Time,لا يمكن أن يكون تاريخ الإكمال قبل تاريخ الفشل. يرجى تعديل التواريخ وفقاً لذلك.
Completed Work Orders,حالة الإكمال
Completion,تأمين شامل
Completion By,كمبيوتر
Completion Date,شرط
Completion Date can not be before Failure Date. Please adjust the dates accordingly.,قاعدة شرطية
Completion Status,أمثلة على القواعد الشرطية
Comprehensive Insurance,سيتم تطبيق الشروط على جميع العناصر المحددة مجتمعة.
Computer,إعداد
Condition,إعداد تجميع المنتج
Conditional Rule,اضبط الإجراء لإيقاف المعاملة أو الاكتفاء بالتحذير إذا لم يتم الحفاظ على نفس السعر.
Conditional Rule Examples,اضبط قائمة الأسعار الافتراضية عند إنشاء معاملة شراء جديدة. سيتم جلب أسعار الأصناف من قائمة الأسعار هذه.
Conditions will be applied on all the selected items combined. ,تاريخ التأكيد
Configuration,الاتصالات
Configure Product Assembly,اعتبر الأبعاد المحاسبية
Configure the action to stop the transaction or just warn if the same rate is not maintained.,اعتبر قيمة دفتر الأستاذ للطرف بالكامل
Configure the default Price List when creating a new Purchase transaction. Item prices will be fetched from this Price List.,اعتبر الحد الأدنى للكمية المطلوبة
Confirmation Date,اعتبر الكمية المتوقعة في الحساب
Connections,اعتبر الكمية المتوقعة في الحساب (مواد خام)
Consider Accounting Dimensions,اعتبر المستودعات المرفوضة
Consider Entire Party Ledger Amount,اعتبر الضريبة أو الرسم لـ
Consider Minimum Order Qty,مُعتَبر في المبلغ المدفوع
Consider Projected Qty in Calculation,دمج بنود أوامر البيع
Consider Projected Qty in Calculation (RM),دمج بنود التجميع الفرعي
Consider Rejected Warehouses,مُدمَج
Consider Tax or Charge for,إشعار دَين مُدمج
Considered In Paid Amount,بيان مالي مُدمج
Consolidate Sales Order Items,فاتورة بيع مُدمجة
Consolidate Sub Assembly Items,مستشار
Consolidated,استشارات
Consolidated Credit Note,مستهلك
Consolidated Financial Statement,تكلفة الاستهلاك
Consolidated Sales Invoice,مستهلَك
Consultant,المبلغ المستهلَك
Consulting,إجمالي قيمة الأصل المستهلَك
Consumable,الأصول المستهلَكة
Consumable Cost,العناصر المستهلَكة
Consumed,تكلفة العناصر المستهلَكة
Consumed Amount,الكمية المستهلَكة
Consumed Asset Total Value,لا يمكن أن تكون الكمية المستهلكة أكبر من الكمية المحجوزة للصنف {0}
Consumed Assets,الكمية المستهلكة
Consumed Items,عناصر المخزون المستهلكة
Consumed Items Cost,عناصر المخزون المستهلكة أو عناصر الأصول المستهلكة مطلوبة لإنشاء أصل مركب جديد
Consumed Qty,عناصر المخزون المستهلكة أو عناصر الأصول المستهلكة أو عناصر الخدمة المستهلكة مطلوبة لرأسملة الأصل
Consumed Qty cannot be greater than Reserved Qty for item {0},إجمالي قيمة المخزون المستهلك
Consumed Quantity,منتجات استهلاكية
Consumed Stock Items,معدل الاستهلاك
Consumed Stock Items or Consumed Asset Items are mandatory for creating new composite asset,جهة الاتصال
"Consumed Stock Items, Consumed Asset Items or Consumed Service Items is mandatory for Capitalization",وصف جهة الاتصال
Consumed Stock Total Value,تفاصيل جهة الاتصال
Consumer Products,البريد الإلكتروني لجهة الاتصال
Consumption Rate,HTML جهة الاتصال
Contact,معلومات جهة الاتصال
Contact Desc,قائمة جهات الاتصال
Contact Details,جوال جهة الاتصال
Contact Email,رقم جوال جهة الاتصال
Contact HTML,اسم جهة الاتصال
Contact Info,رقم جهة الاتصال
Contact Information,الشخص المسؤول
Contact List,الشخص المسؤول لا ينتمي إلى {0}
Contact Mobile,إعدادات اتصل بنا
Contact Mobile No,جهة الاتصال:
Contact Name,جهات الاتصال
Contact No.,المحتوى
Contact Person,نوع المحتوى
Contact Person does not belong to the {0},متابعة
Contact Us Settings,قيد عكسي
Contact: ,عقد
Contacts,تفاصيل العقد
Content,تاريخ انتهاء العقد
Content Type,قائمة التحقق من استيفاء العقد
Continue,مدة العقد
Contra Entry,قالب العقد
Contract,بنود استيفاء قالب العقد
Contract Details,مساعدة قالب العقد
Contract End Date,بنود العقد
Contract Fulfilment Checklist,بنود وشروط العقد
Contract Period,نسبة المساهمة
Contract Template,المساهمة (%)
Contract Template Fulfilment Terms,مبلغ المساهمة
Contract Template Help,كمية المساهمة
Contract Terms,المساهمة في الإجمالي الصافي
Contract Terms and Conditions,إجراء التحكم
Contribution %,إجراء التحكم للإنفاق التراكمي
Contribution (%),التحكم في قيود المخزون التاريخية
Contribution Amount,عامل التحويل
Contribution Qty,معدل التحويل
Contribution to Net Total,يجب أن يكون عامل التحويل لوحدة القياس الافتراضية 1 في الصف {0}
Control Action,تمت إعادة تعيين عامل التحويل للصنف {0} إلى 1.0 لأن وحدة القياس {1} هي نفس وحدة المخزون {2}.
Control Action for Cumulative Expense,لا يمكن أن يكون معدل التحويل 0
Control Historical Stock Transactions,معدل التحويل هو 1.00، ولكن عملة المستند تختلف عن عملة الشركة
Conversion Factor,يجب أن يكون معدل التحويل 1.00 إذا كانت عملة المستند نفس عملة الشركة
Conversion Rate,تحويل وصف الصنف إلى HTML نظيف في المعاملات
Conversion factor for default Unit of Measure must be 1 in row {0},تحويل إلى مجموعة
Conversion factor for item {0} has been reset to 1.0 as the uom {1} is same as stock uom {2}.,تحويل إلى مجموعة
Conversion rate cannot be 0,تحويل إلى إعادة ترحيل قائمة على الأصناف
"Conversion rate is 1.00, but document currency is different from company currency",تحويل إلى دفتر أستاذ
Conversion rate must be 1.00 if document currency is same as company currency,تحويل إلى غير مجموعة
Convert Item Description to Clean HTML in Transactions,تم التحويل
Convert to Group,منسوخ من
Convert to Group,نسخ الحقول إلى المتغير
Convert to Item Based Reposting,أساسي
Convert to Ledger,تصحيحي
Convert to Non-Group,إجراء تصحيحي
Converted,بطاقة عمل تصحيحية
Copied From,عملية تصحيحية
Copy Fields to Variant,تكلفة العملية التصحيحية
Core,تصحيحي/وقائي
Corrective,مستحضرات تجميل
Corrective Action,تكلفة
Corrective Job Card,مركز تكلفة
